,Flight Number,time,Scheduled Time,Category,Pax,minutes,Airline,pax_type,checkin_queue_length,start_checkin_queue,end_checkin_queue,end_checkin_process,wait_time_checkin
0,7C 1383,2020-10-13 11:03:05,2020-10-13 16:30:00,LCC,1,663.0833333333334,7C,tradi,0,2020-10-13 14:00:00,2020-10-13 14:00:00,2020-10-13 14:01:39,0 days 00:00:00
1,7C 1383,2020-10-13 11:14:30,2020-10-13 16:30:00,LCC,1,674.5,7C,tradi,0,2020-10-13 14:00:00,2020-10-13 14:00:00,2020-10-13 14:01:39,0 days 00:00:00
2,7C 1383,2020-10-13 11:22:43,2020-10-13 16:30:00,LCC,1,682.7166666666667,7C,tradi,0,2020-10-13 14:00:00,2020-10-13 14:00:00,2020-10-13 14:01:39,0 days 00:00:00
3,7C 1383,2020-10-13 11:29:15,2020-10-13 16:30:00,LCC,1,689.25,7C,tradi,0,2020-10-13 14:00:00,2020-10-13 14:00:00,2020-10-13 14:01:39,0 days 00:00:00
4,7C 1383,2020-10-13 11:34:43,2020-10-13 16:30:00,LCC,1,694.7166666666667,7C,tradi,1,2020-10-13 14:00:00,2020-10-13 14:01:39,2020-10-13 14:03:19,0 days 00:01:39
5,7C 1383,2020-10-13 11:39:26,2020-10-13 16:30:00,LCC,1,699.4333333333333,7C,tradi,2,2020-10-13 14:00:00,2020-10-13 14:01:39,2020-10-13 14:03:19,0 days 00:01:39
6,7C 1383,2020-10-13 11:43:36,2020-10-13 16:30:00,LCC,1,703.6,7C,tradi,3,2020-10-13 14:00:00,2020-10-13 14:01:39,2020-10-13 14:03:19,0 days 00:01:39
7,7C 1383,2020-10-13 11:47:21,2020-10-13 16:30:00,LCC,1,707.35,7C,tradi,4,2020-10-13 14:00:00,2020-10-13 14:01:39,2020-10-13 14:03:19,0 days 00:01:39
8,7C 1383,2020-10-13 11:50:47,2020-10-13 16:30:00,LCC,1,710.7833333333333,7C,tradi,5,2020-10-13 14:00:00,2020-10-13 14:03:19,2020-10-13 14:04:59,0 days 00:03:19
9,7C 1383,2020-10-13 11:53:57,2020-10-13 16:30:00,LCC,1,713.95,7C,tradi,6,2020-10-13 14:00:00,2020-10-13 14:03:19,2020-10-13 14:04:59,0 days 00:03:19
10,7C 1383,2020-10-13 11:56:54,2020-10-13 16:30:00,LCC,1,716.9,7C,tradi,7,2020-10-13 14:00:00,2020-10-13 14:03:19,2020-10-13 14:04:59,0 days 00:03:19
11,7C 1383,2020-10-13 11:59:37,2020-10-13 16:30:00,LCC,1,719.6166666666667,7C,tradi,8,2020-10-13 14:00:00,2020-10-13 14:03:19,2020-10-13 14:04:59,0 days 00:03:19
12,7C 1383,2020-10-13 12:02:13,2020-10-13 16:30:00,LCC,1,722.2166666666667,7C,tradi,9,2020-10-13 14:00:00,2020-10-13 14:04:59,2020-10-13 14:06:39,0 days 00:04:59
13,7C 1383,2020-10-13 12:04:41,2020-10-13 16:30:00,LCC,1,724.6833333333333,7C,tradi,10,2020-10-13 14:00:00,2020-10-13 14:04:59,2020-10-13 14:06:39,0 days 00:04:59
14,7C 1383,2020-10-13 12:07:00,2020-10-13 16:30:00,LCC,1,727.0,7C,tradi,11,2020-10-13 14:00:00,2020-10-13 14:04:59,2020-10-13 14:06:39,0 days 00:04:59
15,7C 1383,2020-10-13 12:09:13,2020-10-13 16:30:00,LCC,1,729.2166666666667,7C,tradi,12,2020-10-13 14:00:00,2020-10-13 14:04:59,2020-10-13 14:06:39,0 days 00:04:59
16,7C 1383,2020-10-13 12:11:21,2020-10-13 16:30:00,LCC,1,731.35,7C,tradi,13,2020-10-13 14:00:00,2020-10-13 14:06:39,2020-10-13 14:08:19,0 days 00:06:39
17,7C 1383,2020-10-13 12:13:23,2020-10-13 16:30:00,LCC,1,733.3833333333333,7C,tradi,14,2020-10-13 14:00:00,2020-10-13 14:06:39,2020-10-13 14:08:19,0 days 00:06:39
18,7C 1383,2020-10-13 12:15:22,2020-10-13 16:30:00,LCC,1,735.3666666666667,7C,tradi,15,2020-10-13 14:00:00,2020-10-13 14:06:39,2020-10-13 14:08:19,0 days 00:06:39
19,7C 1383,2020-10-13 12:17:14,2020-10-13 16:30:00,LCC,1,737.2333333333333,7C,tradi,16,2020-10-13 14:00:00,2020-10-13 14:06:39,2020-10-13 14:08:19,0 days 00:06:39
20,7C 1383,2020-10-13 12:19:06,2020-10-13 16:30:00,LCC,1,739.1,7C,tradi,17,2020-10-13 14:00:00,2020-10-13 14:08:19,2020-10-13 14:09:59,0 days 00:08:19
21,7C 1383,2020-10-13 12:20:51,2020-10-13 16:30:00,LCC,1,740.85,7C,tradi,18,2020-10-13 14:00:00,2020-10-13 14:08:19,2020-10-13 14:09:59,0 days 00:08:19
22,7C 1383,2020-10-13 12:22:35,2020-10-13 16:30:00,LCC,1,742.5833333333334,7C,tradi,19,2020-10-13 14:00:00,2020-10-13 14:08:19,2020-10-13 14:09:59,0 days 00:08:19
23,7C 1383,2020-10-13 12:24:14,2020-10-13 16:30:00,LCC,1,744.2333333333333,7C,tradi,20,2020-10-13 14:00:00,2020-10-13 14:08:19,2020-10-13 14:09:59,0 days 00:08:19
24,7C 1383,2020-10-13 12:25:53,2020-10-13 16:30:00,LCC,1,745.8833333333333,7C,tradi,21,2020-10-13 14:00:00,2020-10-13 14:09:59,2020-10-13 14:11:39,0 days 00:09:59
25,7C 1383,2020-10-13 12:27:27,2020-10-13 16:30:00,LCC,1,747.45,7C,tradi,22,2020-10-13 14:00:00,2020-10-13 14:09:59,2020-10-13 14:11:39,0 days 00:09:59
26,7C 1383,2020-10-13 12:29:00,2020-10-13 16:30:00,LCC,1,749.0,7C,tradi,23,2020-10-13 14:00:00,2020-10-13 14:09:59,2020-10-13 14:11:39,0 days 00:09:59
27,7C 1383,2020-10-13 12:30:31,2020-10-13 16:30:00,LCC,1,750.5166666666667,7C,tradi,24,2020-10-13 14:00:00,2020-10-13 14:09:59,2020-10-13 14:11:39,0 days 00:09:59
28,7C 1383,2020-10-13 12:31:59,2020-10-13 16:30:00,LCC,1,751.9833333333333,7C,tradi,25,2020-10-13 14:00:00,2020-10-13 14:11:39,2020-10-13 14:13:19,0 days 00:11:39
29,7C 1383,2020-10-13 12:33:27,2020-10-13 16:30:00,LCC,1,753.45,7C,tradi,26,2020-10-13 14:00:00,2020-10-13 14:11:39,2020-10-13 14:13:19,0 days 00:11:39
30,7C 1383,2020-10-13 12:34:51,2020-10-13 16:30:00,LCC,1,754.85,7C,tradi,27,2020-10-13 14:00:00,2020-10-13 14:11:39,2020-10-13 14:13:19,0 days 00:11:39
31,7C 1383,2020-10-13 12:36:14,2020-10-13 16:30:00,LCC,1,756.2333333333333,7C,tradi,28,2020-10-13 14:00:00,2020-10-13 14:11:39,2020-10-13 14:13:19,0 days 00:11:39
32,7C 1383,2020-10-13 12:37:37,2020-10-13 16:30:00,LCC,1,757.6166666666667,7C,tradi,29,2020-10-13 14:00:00,2020-10-13 14:13:19,2020-10-13 14:14:59,0 days 00:13:19
33,7C 1383,2020-10-13 12:38:56,2020-10-13 16:30:00,LCC,1,758.9333333333333,7C,tradi,30,2020-10-13 14:00:00,2020-10-13 14:13:19,2020-10-13 14:14:59,0 days 00:13:19
34,7C 1383,2020-10-13 12:40:16,2020-10-13 16:30:00,LCC,1,760.2666666666667,7C,tradi,31,2020-10-13 14:00:00,2020-10-13 14:13:19,2020-10-13 14:14:59,0 days 00:13:19
35,7C 1383,2020-10-13 12:41:33,2020-10-13 16:30:00,LCC,1,761.55,7C,tradi,32,2020-10-13 14:00:00,2020-10-13 14:13:19,2020-10-13 14:14:59,0 days 00:13:19
36,7C 1383,2020-10-13 12:42:49,2020-10-13 16:30:00,LCC,1,762.8166666666667,7C,tradi,33,2020-10-13 14:00:00,2020-10-13 14:14:59,2020-10-13 14:16:39,0 days 00:14:59
37,7C 1383,2020-10-13 12:44:05,2020-10-13 16:30:00,LCC,1,764.0833333333334,7C,tradi,34,2020-10-13 14:00:00,2020-10-13 14:14:59,2020-10-13 14:16:39,0 days 00:14:59
38,7C 1383,2020-10-13 12:45:19,2020-10-13 16:30:00,LCC,1,765.3166666666667,7C,tradi,35,2020-10-13 14:00:00,2020-10-13 14:14:59,2020-10-13 14:16:39,0 days 00:14:59
